update,mean_coopval,count,Hist_0.0,Hist_0.1,Hist_0.2,Hist_0.3,Hist_0.4,Hist_0.5,Hist_0.6,Hist_0.7,Hist_0.8,Hist_0.9
350,0.500825,10000,0,0,0,0,10000,0,0,0,0,0
351,0.500876,10000,0,0,0,0,10000,0,0,0,0,0
352,0.50093,10000,0,0,0,0,10000,0,0,0,0,0
353,0.500929,10000,0,0,0,0,10000,0,0,0,0,0
354,0.500949,10000,0,0,0,0,10000,0,0,0,0,0
355,0.500913,10000,0,0,0,0,10000,0,0,0,0,0
356,0.500881,10000,0,0,0,0,10000,0,0,0,0,0
357,0.500877,10000,0,0,0,0,10000,0,0,0,0,0
358,0.500839,10000,0,0,0,0,10000,0,0,0,0,0
359,0.500861,10000,0,0,0,0,10000,0,0,0,0,0
360,0.500861,10000,0,0,0,0,10000,0,0,0,0,0
361,0.500814,10000,0,0,0,0,10000,0,0,0,0,0
362,0.50087,10000,0,0,0,0,10000,0,0,0,0,0
363,0.500906,10000,0,0,0,0,10000,0,0,0,0,0
364,0.500956,10000,0,0,0,0,10000,0,0,0,0,0
365,0.50097,10000,0,0,0,0,10000,0,0,0,0,0
366,0.500966,10000,0,0,0,0,10000,0,0,0,0,0
367,0.500914,10000,0,0,0,0,10000,0,0,0,0,0
368,0.500873,10000,0,0,0,0,10000,0,0,0,0,0
369,0.500844,10000,0,0,0,0,10000,0,0,0,0,0
370,0.500867,10000,0,0,0,0,10000,0,0,0,0,0
371,0.500869,10000,0,0,0,0,10000,0,0,0,0,0
372,0.500895,10000,0,0,0,0,10000,0,0,0,0,0
373,0.500907,10000,0,0,0,0,10000,0,0,0,0,0
374,0.500995,10000,0,0,0,0,10000,0,0,0,0,0
375,0.500988,10000,0,0,0,0,10000,0,0,0,0,0
376,0.500985,10000,0,0,0,0,10000,0,0,0,0,0
377,0.500939,10000,0,0,0,0,10000,0,0,0,0,0
378,0.500912,10000,0,0,0,0,10000,0,0,0,0,0
379,0.500942,10000,0,0,0,0,10000,0,0,0,0,0
380,0.500914,10000,0,0,0,0,10000,0,0,0,0,0
381,0.501004,10000,0,0,0,0,10000,0,0,0,0,0
382,0.501061,10000,0,0,0,0,10000,0,0,0,0,0
383,0.501081,10000,0,0,0,0,10000,0,0,0,0,0
384,0.501109,10000,0,0,0,0,10000,0,0,0,0,0
385,0.501105,10000,0,0,0,0,10000,0,0,0,0,0
386,0.501046,10000,0,0,0,0,10000,0,0,0,0,0
387,0.500984,10000,0,0,0,0,10000,0,0,0,0,0
388,0.500963,10000,0,0,0,0,10000,0,0,0,0,0
389,0.501037,10000,0,0,0,0,10000,0,0,0,0,0
390,0.501023,10000,0,0,0,0,10000,0,0,0,0,0
391,0.501006,10000,0,0,0,0,10000,0,0,0,0,0
392,0.501068,10000,0,0,0,0,10000,0,0,0,0,0
393,0.501055,10000,0,0,0,0,10000,0,0,0,0,0
394,0.501071,10000,0,0,0,0,10000,0,0,0,0,0
395,0.501064,10000,0,0,0,0,10000,0,0,0,0,0
396,0.501038,10000,0,0,0,0,10000,0,0,0,0,0
397,0.501023,10000,0,0,0,0,10000,0,0,0,0,0
398,0.500997,10000,0,0,0,0,10000,0,0,0,0,0
399,0.500993,10000,0,0,0,0,10000,0,0,0,0,0
400,0.501005,10000,0,0,0,0,10000,0,0,0,0,0
401,0.501007,10000,0,0,0,0,10000,0,0,0,0,0
402,0.501078,10000,0,0,0,0,10000,0,0,0,0,0
403,0.501084,10000,0,0,0,0,10000,0,0,0,0,0
404,0.501088,10000,0,0,0,0,10000,0,0,0,0,0
405,0.501057,10000,0,0,0,0,10000,0,0,0,0,0
406,0.500977,10000,0,0,0,0,10000,0,0,0,0,0
407,0.500968,10000,0,0,0,0,10000,0,0,0,0,0
408,0.501004,10000,0,0,0,0,10000,0,0,0,0,0
409,0.501002,10000,0,0,0,0,10000,0,0,0,0,0
410,0.501048,10000,0,0,0,0,10000,0,0,0,0,0
411,0.501091,10000,0,0,0,0,10000,0,0,0,0,0
412,0.501131,10000,0,0,0,0,10000,0,0,0,0,0
413,0.501101,10000,0,0,0,0,10000,0,0,0,0,0
414,0.501109,10000,0,0,0,0,10000,0,0,0,0,0
415,0.501038,10000,0,0,0,0,10000,0,0,0,0,0
416,0.500979,10000,0,0,0,0,10000,0,0,0,0,0
417,0.500934,10000,0,0,0,0,10000,0,0,0,0,0
418,0.500962,10000,0,0,0,0,10000,0,0,0,0,0
419,0.500972,10000,0,0,0,0,10000,0,0,0,0,0
420,0.500922,10000,0,0,0,0,10000,0,0,0,0,0
421,0.501012,10000,0,0,0,0,10000,0,0,0,0,0
422,0.501046,10000,0,0,0,0,10000,0,0,0,0,0
423,0.500984,10000,0,0,0,0,10000,0,0,0,0,0
424,0.500967,10000,0,0,0,0,10000,0,0,0,0,0
425,0.500906,10000,0,0,0,0,10000,0,0,0,0,0
426,0.500839,10000,0,0,0,0,10000,0,0,0,0,0
427,0.500851,10000,0,0,0,0,10000,0,0,0,0,0
428,0.500915,10000,0,0,0,0,10000,0,0,0,0,0
429,0.500941,10000,0,0,0,0,10000,0,0,0,0,0
430,0.500975,10000,0,0,0,0,10000,0,0,0,0,0
431,0.500985,10000,0,0,0,0,10000,0,0,0,0,0
432,0.501009,10000,0,0,0,0,10000,0,0,0,0,0
433,0.501011,10000,0,0,0,0,10000,0,0,0,0,0
